transaction_id,suspect_id,date,amount,category,recipient
8640,188,15/10/2024 16:10,1E+35,Retail,Mills PLC
3472,52,05/11/2024 23:42,49708.81,Large Purchase,Investment Fund
19226,480,30/10/2024 14:39,48136.41,Large Purchase,Investment Fund
15203,368,13/11/2024 01:26,46311.16,Large Purchase,Investment Fund
4557,80,23/09/2024 06:49,42603.4,Large Purchase,Investment Fund
16948,416,16/10/2024 12:14,40961.01,Large Purchase,Investment Fund
5892,115,19/10/2024 16:04,39970.68,Large Purchase,Investment Fund
14508,348,30/09/2024 14:20,39726.92,Large Purchase,Investment Fund
6235,126,26/09/2024 21:07,34952.11,Large Purchase,Car Dealership
8188,177,31/10/2024 21:46,34621.1,Large Purchase,Car Dealership
2349,24,09/11/2024 06:49,34060.09,Large Purchase,Car Dealership
19379,485,23/09/2024 05:34,32779.44,Large Purchase,Car Dealership
5226,99,08/10/2024 14:59,31509.13,Large Purchase,Car Dealership
12584,296,23/10/2024 15:56,30867.52,Large Purchase,Investment Fund
3286,48,23/10/2024 22:04,30602.44,Large Purchase,Car Dealership
6043,120,05/10/2024 16:06,30257.05,Large Purchase,Car Dealership
13973,334,15/11/2024 15:27,29733.57,Large Purchase,Car Dealership
16059,392,05/11/2024 20:40,29349.9,Large Purchase,Investment Fund
1573,4,11/10/2024 14:32,29175.71,Large Purchase,Car Dealership
6701,137,09/10/2024 16:10,27919.57,Large Purchase,Investment Fund
1971,14,11/10/2024 03:32,27823.58,Large Purchase,Car Dealership
15637,379,15/11/2024 08:11,23420.02,Large Purchase,Investment Fund
5557,108,28/09/2024 07:52,23170.06,Large Purchase,Car Dealership
2069,17,29/09/2024 00:40,22112.98,Large Purchase,Investment Fund
1925,17,29/10/2024 19:25,22112.82,Large Purchase,Investment Fund
10284,17,16/10/2024 05:59,20680.38,Large Purchase,Investment Fund
11256,17,06/11/2024 10:10,20081.77,Large Purchase,Investment Fund
8119,175,29/10/2024 04:44,19669.33,Large Purchase,Home Renovation
8555,187,19/09/2024 14:59,19509.73,Large Purchase,Home Renovation
15967,390,13/11/2024 22:12,17722.82,Large Purchase,Home Renovation
4743,84,22/10/2024 12:55,17400.01,Large Purchase,Car Dealership
12258,288,13/10/2024 05:34,17055.14,Large Purchase,Home Renovation
5962,117,10/10/2024 15:34,16664.56,Large Purchase,Home Renovation
14972,359,11/10/2024 14:03,15931.74,Large Purchase,Car Dealership
11867,275,02/11/2024 18:53,15850.47,Large Purchase,Home Renovation
4227,72,02/10/2024 09:53,15557.82,Large Purchase,Car Dealership
9656,215,25/09/2024 06:39,15436.67,Large Purchase,Home Renovation
3375,50,17/10/2024 06:06,15338.06,Large Purchase,Home Renovation
8835,195,29/09/2024 05:56,15280.39,Large Purchase,Home Renovation
8665,190,18/10/2024 22:23,14883.4,Large Purchase,Home Renovation
4642,82,27/09/2024 13:52,14805.11,Large Purchase,Home Renovation
14632,351,10/10/2024 20:11,14558.98,Large Purchase,Home Renovation
13915,333,25/09/2024 10:46,14322.64,Large Purchase,Wedding Venue
